"","V1","V2"
"94",2.95711233211233e-06,-0.00027483643737343
"95",2.98890923890924e-06,-0.000262860462918045
"96",3.02070614570615e-06,-0.000340949644232426
"97",3.05250305250305e-06,-0.000345997272851374
"98",3.08429995929996e-06,-0.000328224037346024
"99",3.11609686609687e-06,-0.000327637749781584
"100",3.14789377289377e-06,-0.000310115482935987
"101",3.17969067969068e-06,-0.000338234015414434
"102",3.21148758648759e-06,-0.000361328306410367
"103",3.24328449328449e-06,-0.000304421669786414
"104",3.2750814000814e-06,-0.000306827961688328
"105",3.30687830687831e-06,-0.00028238755947407
"106",3.33867521367521e-06,-0.000271778643098232
"107",3.37047212047212e-06,-0.000301725831587805
"108",3.40226902726903e-06,-0.000273297718090127
"109",3.43406593406593e-06,-0.000271685418961826
"110",3.46586284086284e-06,-0.00029658961010456
"111",3.49765974765975e-06,-0.000323617286754946
"112",3.52945665445665e-06,-0.000304565448144074
"113",3.56125356125356e-06,-0.000347158332306054
"114",3.59305046805047e-06,-0.000324333090452968
"115",3.62484737484737e-06,-0.000335080734896894
"116",3.65664428164428e-06,-0.000343261046850226
"117",3.68844118844119e-06,-0.000346524131387875
"118",3.72023809523809e-06,-0.000382175345890196
"119",3.752035002035e-06,-0.000351848115556125
"120",3.78383190883191e-06,-0.000361050220173587
"121",3.81562881562882e-06,-0.000366364710011208
"122",3.84742572242572e-06,-0.000374080876297464
"123",3.87922262922263e-06,-0.000388603446541823
"124",3.91101953601954e-06,-0.000372623618093897
"125",3.94281644281644e-06,-0.000417356393215767
"126",3.97461334961335e-06,-0.000409771383744388
"127",4.00641025641026e-06,-0.000432910774612652
"128",4.03820716320716e-06,-0.000423161298376523
"129",4.07000407000407e-06,-0.000447159055668212
"130",4.10180097680098e-06,-0.000416315718633332
"131",4.13359788359788e-06,-0.00044236921520248
"132",4.16539479039479e-06,-0.000397359687705905
"133",4.1971916971917e-06,-0.000421412439303188
"134",4.2289886039886e-06,-0.000395118333190715
"135",4.26078551078551e-06,-0.000433544373825767
"136",4.29258241758242e-06,-0.000446971675151934
"137",4.32437932437932e-06,-0.000463781451789865
"138",4.35617623117623e-06,-0.000467781400110361
"139",4.38797313797314e-06,-0.000469890391072985
"140",4.41977004477004e-06,-0.000472469219499406
"141",4.45156695156695e-06,-0.000437334695447271
"142",4.48336385836386e-06,-0.000483138163237271
"143",4.51516076516076e-06,-0.000514207639664054
"144",4.54695767195767e-06,-0.000495891008447971
"145",4.57875457875458e-06,-0.000500465727545101
"146",4.61055148555148e-06,-0.000498476764515006
"147",4.64234839234839e-06,-0.000482034689122015
"148",4.6741452991453e-06,-0.000472230204867615
"149",4.70594220594221e-06,-0.000457435141699396
"150",4.73773911273911e-06,-0.000452772253808672
"151",4.76953601953602e-06,-0.000471708803110493
"152",4.80133292633293e-06,-0.000469603560654585
"153",4.83312983312983e-06,-0.000426417133501893
"154",4.86492673992674e-06,-0.000451122425170324
"155",4.89672364672365e-06,-0.000460381362224368
"156",4.92852055352055e-06,-0.000448747175483782
"157",4.96031746031746e-06,-0.000478006981054992
"158",4.99211436711437e-06,-0.000460497938402827
"159",5.02391127391127e-06,-0.000491690276420563
"160",5.05570818070818e-06,-0.000487805283225545
"161",5.08750508750509e-06,-0.00051670086269176
"162",5.11930199430199e-06,-0.000482015864196066
"163",5.1510989010989e-06,-0.000497987595515206
"164",5.18289580789581e-06,-0.000467082351072796
"165",5.21469271469271e-06,-0.000476670463166338
"166",5.24648962148962e-06,-0.000465422122793538
"167",5.27828652828653e-06,-0.000487749919021382
"168",5.31008343508343e-06,-0.000470498941495903
"169",5.34188034188034e-06,-0.000518832552635009
"170",5.37367724867725e-06,-0.000524702004012353
"171",5.40547415547416e-06,-0.000524218280389994
"172",5.43727106227106e-06,-0.000529026448867606
"173",5.46906796906797e-06,-0.00053969056572537
"174",5.50086487586488e-06,-0.000500644635209452
"175",5.53266178266178e-06,-0.000479646826213015
"176",5.56445868945869e-06,-0.000482449000754914
"177",5.5962555962556e-06,-0.00050064216552548
"178",5.6280525030525e-06,-0.000495697741000784
"179",5.65984940984941e-06,-0.00048322051523794
"180",5.69164631664632e-06,-0.000496023915201933
